player_id,full_name,instagram_handle,instagram_followers,resolved_from,fetch_date
1,Connor McDavid,mcdavid97,,wikipedia,2026-05-20
2,Nathan MacKinnon,mackinnon29,,wikipedia,2026-05-20
3,Cale Makar,calemakar_,,wikipedia,2026-05-20
4,Leon Draisaitl,bowiesworldd,,wikipedia,2026-05-20
5,Sidney Crosby,,,,2026-05-20
6,Auston Matthews,,,,2026-05-20
7,Nikita Kucherov,,,,2026-05-20
8,Brad Marchand,,,,2026-05-20
9,Matthew Tkachuk,matthew_tkachuk,,wikipedia,2026-05-20
10,Brady Tkachuk,bradytkachuk,,wikipedia,2026-05-20
11,Ryan Reaves,,,,2026-05-20
12,Mitch Marner,marner_93,,wikipedia,2026-05-20
13,Jack Hughes,jackhughes,,wikipedia,2026-05-20
14,Connor Bedard,,,,2026-05-20
